#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0007275	Multicellular organism development	31	4921	0.51	1.14e-09	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000085423,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Hdac2,Myc,Runx1,Pou5f1,Xrn2,Kdm2b,Cnot3,Pbx3,Mycn,Klf1,Egr1,Foxm1,Zfp42,Pml,Zfx,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Atf2,Brd4,Sin3a
GO:0071495	Cellular response to endogenous stimulus	17	1075	0.91	1.37e-09	10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000082816,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Stat5a,Nanog,Brca1,Hdac2,Runx1,Pou5f1,Taf7,Egr1,Pml,Taf1,Kat2a,E2f1,Klf4,Max,Nr1h3,Usf1,Sin3a
GO:1902275	Regulation of chromatin organization	10	209	1.39	2.10e-09	10090.ENSMUSP00000002180,10090.ENSMUSP00000017290,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000065645,10090.ENSMUSP00000082816,10090.ENSMUSP00000099407,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Brca1,Pou5f1,Nelfa,Taf7,Pml,Kat2a,Brd4,Sin3a,Nelfe
GO:0048523	Negative regulation of cellular process	30	4672	0.52	2.32e-09	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000045993,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Stat5a,Nanog,E2f4,Brca1,Hdac2,E2f6,Myc,Runx1,Pou5f1,Nelfa,Kdm2b,Cnot3,Mycn,Taf7,Egr1,Foxm1,Pml,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Sin3a,Nelfe
GO:0010033	Response to organic substance	24	2742	0.65	2.76e-09	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000122403,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Spi1,Stat5a,Nanog,Brca1,Mybl2,Hdac2,Myc,Runx1,Pou5f1,Taf7,Egr1,Zfp42,Pml,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Nfyb,Usf1,Sin3a
GO:0048519	Negative regulation of biological process	31	5108	0.49	2.96e-09	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000030993,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000045993,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Stat5a,Nanog,E2f4,Brca1,Hdac2,E2f6,Myc,Runx1,Pou5f1,Xrn2,Nelfa,Kdm2b,Cnot3,Mycn,Taf7,Egr1,Foxm1,Pml,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Zbtb33,Sin3a,Nelfe
GO:0070887	Cellular response to chemical stimulus	23	2535	0.67	4.61e-09	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000043909,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000122403,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Spi1,Stat5a,Nanog,Brca1,Mybl2,Hdac2,Myc,Runx1,Pou5f1,Nfya,Taf7,Egr1,Zfp42,Pml,Taf1,Kat2a,E2f1,Klf4,Max,Nr1h3,Nfyb,Usf1,Sin3a
GO:0051726	Regulation of cell cycle	16	1016	0.91	6.62e-09	10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000020908,10090.ENSMUSP00000022971,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221	Stat5a,Nanog,E2f4,Brca1,E2f6,Myc,Foxm1,Pml,Sox2,Kat2a,E2f1,Tcf3,Klf4,Atf2,Brd4,Sin3a
GO:0031056	Regulation of histone modification	9	164	1.45	7.12e-09	10090.ENSMUSP00000002180,10090.ENSMUSP00000017290,10090.ENSMUSP00000030993,10090.ENSMUSP00000065645,10090.ENSMUSP00000082816,10090.ENSMUSP00000099407,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Brca1,Nelfa,Taf7,Pml,Kat2a,Brd4,Sin3a,Nelfe
GO:0034645	Cellular macromolecule biosynthetic process	17	1233	0.85	1.01e-08	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000076208,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000110795,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Hoxc9,Spi1,Stat5a,Myc,Pou5f1,Xrn2,Taf7,Egr1,Ttf2,Taf1,E2f1,Tcf3,Klf4,Zbtb33,Tbp,Usf1,Sin3a
GO:0016070	RNA metabolic process	17	1240	0.85	1.09e-08	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000039098,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000076208,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000110795,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729	Hoxc9,Spi1,Stat5a,Myc,Pou5f1,Xrn2,Cnot3,Taf7,Egr1,Ttf2,Taf1,E2f1,Tcf3,Klf4,Zbtb33,Tbp,Usf1
GO:0033044	Regulation of chromosome organization	11	363	1.19	1.68e-08	10090.ENSMUSP00000002180,10090.ENSMUSP00000017290,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000030993,10090.ENSMUSP00000065645,10090.ENSMUSP00000082816,10090.ENSMUSP00000099407,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Spi1,Brca1,Myc,Pou5f1,Nelfa,Taf7,Pml,Kat2a,Brd4,Sin3a,Nelfe
GO:0042221	Response to chemical	26	3720	0.55	2.95e-08	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000043909,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000122403,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Spi1,Stat5a,Nanog,Brca1,Mybl2,Hdac2,Myc,Runx1,Pou5f1,Nfya,Taf7,Egr1,Zfp42,Pml,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Nfyb,Usf1,Sin3a
GO:0090304	Nucleic acid metabolic process	19	1777	0.74	3.48e-08	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000017290,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000039098,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000076208,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000110795,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729	Hoxc9,Spi1,Stat5a,Brca1,Myc,Pou5f1,Xrn2,Cnot3,Taf7,Egr1,Foxm1,Ttf2,Taf1,E2f1,Tcf3,Klf4,Zbtb33,Tbp,Usf1
GO:1901700	Response to oxygen-containing compound	18	1585	0.77	4.70e-08	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000069616,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Spi1,Stat5a,Nanog,Brca1,Hdac2,Runx1,Pou5f1,Egr1,Sox2,Taf1,E2f1,Tcf3,Klf4,Max,Nr1h3,Atf2,Usf1,Sin3a
GO:0071345	Cellular response to cytokine stimulus	13	698	0.98	8.32e-08	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000018005,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000069616,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000099407,10090.ENSMUSP00000103245,10090.ENSMUSP00000122403	Spi1,Stat5a,Nanog,Brca1,Mybl2,Myc,Pou5f1,Egr1,Zfp42,Pml,Kat2a,Klf4,Nfyb
GO:0050793	Regulation of developmental process	22	2669	0.63	8.75e-08	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000043909,10090.ENSMUSP00000045993,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000107641,10090.ENSMUSP00000130221	Spi1,Stat5a,Nanog,Brca1,Hdac2,Myc,Runx1,Pou5f1,Kdm2b,Cnot3,Nfya,Mycn,Egr1,Foxm1,Pml,Sox2,Kat2a,E2f1,Tcf3,Klf4,Atf2,Sin3a
GO:0032501	Multicellular organismal process	32	6272	0.42	8.94e-08	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000085423,10090.ENSMUSP00000096755,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106025,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000124317,10090.ENSMUSP00000130221	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Brca1,Hdac2,Myc,Runx1,Pou5f1,Xrn2,Kdm2b,Cnot3,Pbx3,Mycn,Klf1,Egr1,Foxm1,Zfp42,Pml,Zfx,Sox2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Max,Atf2,Brd4,Tbp,Sin3a
GO:0030154	Cell differentiation	25	3674	0.54	1.45e-07	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000039098,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000064366,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000080765,10090.ENSMUSP00000082816,10090.ENSMUSP00000085423,10090.ENSMUSP00000096755,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000130221	Spi1,Stat5a,Nanog,E2f4,Hdac2,Myc,Runx1,Pou5f1,Xrn2,Cnot3,Pbx3,Mycn,Klf1,Egr1,Foxm1,Zfp42,Pml,Zfx,Sox2,E2f1,Tcf3,Klf4,Nr1h3,Atf2,Sin3a
GO:0009653	Anatomical structure morphogenesis	20	2244	0.66	2.04e-07	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000107641	Hoxc9,Spi1,Stat5a,Nanog,E2f4,Hdac2,Myc,Runx1,Pou5f1,Kdm2b,Cnot3,Pbx3,Mycn,Foxm1,Pml,Sox2,Kat2a,Tcf3,Klf4,Atf2
GO:0044249	Cellular biosynthetic process	19	2025	0.68	2.74e-07	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000017290,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000076208,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106988,10090.ENSMUSP00000110795,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Hoxc9,Spi1,Stat5a,Brca1,Myc,Pou5f1,Xrn2,Taf7,Egr1,Ttf2,Taf1,E2f1,Tcf3,Klf4,Nr1h3,Zbtb33,Tbp,Usf1,Sin3a
GO:2000757	Negative regulation of peptidyl-lysine acetylation	5	23	2.05	2.96e-07	10090.ENSMUSP00000002180,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000065645,10090.ENSMUSP00000130221	Spi1,Brca1,Hdac2,Taf7,Sin3a
GO:0044260	Cellular macromolecule metabolic process	26	4161	0.51	3.07e-07	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000076208,10090.ENSMUSP00000082816,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000107641,10090.ENSMUSP00000110795,10090.ENSMUSP00000113070,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Hoxc9,Spi1,Stat5a,Brca1,Hdac2,Myc,Pou5f1,Xrn2,Kdm2b,Cnot3,Taf7,Egr1,Foxm1,Ttf2,Pml,Taf1,Kat2a,E2f1,Tcf3,Klf4,Atf2,Zbtb33,Brd4,Tbp,Usf1,Sin3a
GO:0051239	Regulation of multicellular organismal process	23	3205	0.57	3.85e-07	10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000043909,10090.ENSMUSP00000045281,10090.ENSMUSP00000045993,10090.ENSMUSP00000069616,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106988,10090.ENSMUSP00000107641,10090.ENSMUSP00000130221	Spi1,Stat5a,Nanog,Brca1,Hdac2,Myc,Runx1,Pou5f1,Kdm2b,Cnot3,Nfya,Pbx3,Mycn,Egr1,Pml,Sox2,Kat2a,E2f1,Tcf3,Klf4,Nr1h3,Atf2,Sin3a
GO:1901576	Organic substance biosynthetic process	19	2121	0.66	5.53e-07	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000017290,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000076208,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000106988,10090.ENSMUSP00000110795,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729,10090.ENSMUSP00000130221	Hoxc9,Spi1,Stat5a,Brca1,Myc,Pou5f1,Xrn2,Taf7,Egr1,Ttf2,Taf1,E2f1,Tcf3,Klf4,Nr1h3,Zbtb33,Tbp,Usf1,Sin3a
GO:1905269	Positive regulation of chromatin organization	7	119	1.48	5.99e-07	10090.ENSMUSP00000017290,10090.ENSMUSP00000030993,10090.ENSMUSP00000082816,10090.ENSMUSP00000099407,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221,10090.ENSMUSP00000134272	Brca1,Nelfa,Pml,Kat2a,Brd4,Sin3a,Nelfe
GO:0042127	Regulation of cell population proliferation	17	1650	0.72	6.42e-07	10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000015003,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000038229,10090.ENSMUSP00000043909,10090.ENSMUSP00000045993,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000107641	Stat5a,Nanog,E2f4,Hdac2,Myc,Runx1,Kdm2b,Nfya,Mycn,Egr1,Foxm1,Pml,Sox2,E2f1,Tcf3,Klf4,Atf2
GO:0007346	Regulation of mitotic cell cycle	11	531	1.03	6.45e-07	10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000017290,10090.ENSMUSP00000022971,10090.ENSMUSP00000082816,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221	Stat5a,Nanog,Brca1,Myc,Pml,E2f1,Tcf3,Klf4,Atf2,Brd4,Sin3a
GO:2000756	Regulation of peptidyl-lysine acetylation	6	66	1.67	6.92e-07	10090.ENSMUSP00000002180,10090.ENSMUSP00000017290,10090.ENSMUSP00000019911,10090.ENSMUSP00000065645,10090.ENSMUSP00000099407,10090.ENSMUSP00000130221	Spi1,Brca1,Hdac2,Taf7,Kat2a,Sin3a
GO:0051093	Negative regulation of developmental process	14	1043	0.84	8.16e-07	10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000023673,10090.ENSMUSP00000025271,10090.ENSMUSP00000045993,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000107641	Stat5a,Nanog,Hdac2,Myc,Runx1,Pou5f1,Mycn,Foxm1,Pml,Sox2,E2f1,Tcf3,Klf4,Atf2
GO:0051101	Regulation of dna binding	7	128	1.45	9.14e-07	10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000098895,10090.ENSMUSP00000099434,10090.ENSMUSP00000103245,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221	Hdac2,Myc,Taf1,E2f1,Klf4,Brd4,Sin3a
GO:0010467	Gene expression	17	1743	0.7	1.36e-06	10090.ENSMUSP00000001706,10090.ENSMUSP00000002180,10090.ENSMUSP00000004145,10090.ENSMUSP00000022971,10090.ENSMUSP00000025271,10090.ENSMUSP00000028921,10090.ENSMUSP00000065645,10090.ENSMUSP00000069616,10090.ENSMUSP00000076208,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000103245,10090.ENSMUSP00000110795,10090.ENSMUSP00000124317,10090.ENSMUSP00000125729	Hoxc9,Spi1,Stat5a,Myc,Pou5f1,Xrn2,Taf7,Egr1,Ttf2,Taf1,Kat2a,E2f1,Tcf3,Klf4,Zbtb33,Tbp,Usf1
GO:2000036	Regulation of stem cell population maintenance	5	38	1.83	2.41e-06	10090.ENSMUSP00000022971,10090.ENSMUSP00000038229,10090.ENSMUSP00000039098,10090.ENSMUSP00000043909,10090.ENSMUSP00000099407	Myc,Kdm2b,Cnot3,Nfya,Kat2a
GO:0016570	Histone modification	9	346	1.13	2.66e-06	10090.ENSMUSP00000002180,10090.ENSMUSP00000019911,10090.ENSMUSP00000038229,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000100979,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221	Spi1,Hdac2,Kdm2b,Taf1,Kat2a,Tcf3,Atf2,Brd4,Sin3a
GO:0008284	Positive regulation of cell population proliferation	13	964	0.84	2.85e-06	10090.ENSMUSP00000004145,10090.ENSMUSP00000012540,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000043909,10090.ENSMUSP00000045993,10090.ENSMUSP00000069616,10090.ENSMUSP00000073041,10090.ENSMUSP00000082816,10090.ENSMUSP00000096755,10090.ENSMUSP00000099434,10090.ENSMUSP00000100979,10090.ENSMUSP00000107641	Stat5a,Nanog,Hdac2,Myc,Nfya,Mycn,Egr1,Foxm1,Pml,Sox2,E2f1,Tcf3,Atf2
GO:0006325	Chromatin organization	11	625	0.96	2.99e-06	10090.ENSMUSP00000002180,10090.ENSMUSP00000019911,10090.ENSMUSP00000022971,10090.ENSMUSP00000038229,10090.ENSMUSP00000064366,10090.ENSMUSP00000098895,10090.ENSMUSP00000099407,10090.ENSMUSP00000100979,10090.ENSMUSP00000107641,10090.ENSMUSP00000113070,10090.ENSMUSP00000130221	Spi1,Hdac2,Myc,Kdm2b,Klf1,Taf1,Kat2a,Tcf3,Atf2,Brd4,Sin3a
