NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	26	24		
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION	178	148		
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DEVELOPMENT	81	70		
GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_AXONOGENESIS	35	32		
GOBP_CORTICOSPINAL_TRACT_MORPHOGENESIS	6		Rejected!	
GOBP_ANTERIOR_COMMISSURE_MORPHOGENESIS	6		Rejected!	
GOBP_TELENCEPHALON_REGIONALIZATION	10		Rejected!	
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	7		Rejected!	
GOBP_PITUITARY_GLAND_DEVELOPMENT	41	31		
GOBP_ADENOHYPOPHYSIS_DEVELOPMENT	12		Rejected!	
GOBP_CEREBRAL_CORTEX_DEVELOPMENT	107	91		
GOBP_OLFACTORY_LOBE_DEVELOPMENT	28	24		
GOBP_NEUROGENESIS	1613		Rejected!	
GOBP_INTERKINETIC_NUCLEAR_MIGRATION	5		Rejected!	
GOBP_TANGENTIAL_MIGRATION_FROM_THE_SUBVENTRICULAR_ZONE_TO_THE_OLFACTORY_BULB	5		Rejected!	
GOBP_TELENCEPHALON_GLIAL_CELL_MIGRATION	22	18		
GOBP_METENCEPHALON_DEVELOPMENT	101	86		
GOBP_CORPUS_CALLOSUM_DEVELOPMENT	15		Rejected!	
GOBP_CELL_CYCLE_PROCESS	1415		Rejected!	
GOBP_MEMBRANE_DOCKING	181	173		
GOBP_REGULATION_OF_CELL_CELL_ADHESION	437	345		
GOBP_NEGATIVE_REGULATION_OF_CELL_CELL_ADHESION	189	148		
GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	276	214		
GOBP_CELLULAR_COMPONENT_DISASSEMBLY	560		Rejected!	
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM	357	260		
GOBP_PROTEIN_MATURATION_BY_PROTEIN_FOLDING	8		Rejected!	
GOBP_DIGESTIVE_SYSTEM_PROCESS	99	66		
GOBP_OVULATION_CYCLE_PROCESS	43	35		
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	1006		Rejected!	
GOBP_REGULATION_OF_CELL_MORPHOGENESIS	305	281		
GOBP_MAMMALIAN_OOGENESIS_STAGE	7		Rejected!	
GOBP_BIOLOGICAL_ADHESION	1481		Rejected!	
GOBP_GLAND_MORPHOGENESIS	111	103		
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	471	421		
GOBP_MEMBRANE_TO_MEMBRANE_DOCKING	5		Rejected!	
GOBP_DNA_STRAND_ELONGATION	26	24		
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY	81	64		
GOBP_ELECTRON_TRANSPORT_CHAIN	178	146		
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	117	100		
GOBP_SIGNAL_TRANSDUCTION_INVOLVED_IN_REGULATION_OF_GENE_EXPRESSION	17	15		
GOBP_CD40_SIGNALING_PATHWAY	15		Rejected!	
GOBP_NEURONAL_SIGNAL_TRANSDUCTION	7		Rejected!	
GOBP_POSITIVE_REGULATION_OF_SIGNALING	1725		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_SIGNALING	1409		Rejected!	
GOBP_ADAPTATION_OF_SIGNALING_PATHWAY	21	19		
GOBP_SIGNAL_RELEASE	475	398		
GOBP_METAL_ION_TRANSPORT	486	397		
GOBP_CELLULAR_ANION_HOMEOSTASIS	14		Rejected!	
GOBP_CELLULAR_MONOVALENT_INORGANIC_CATION_HOMEOSTASIS	115	91		
GOBP_CELLULAR_POTASSIUM_ION_HOMEOSTASIS	13		Rejected!	
GOBP_ESTABLISHMENT_OF_CELL_POLARITY	137	129		
GOBP_MAINTENANCE_OF_CELL_POLARITY	18	18		
GOBP_ACTIN_FILAMENT_BASED_PROCESS	790		Rejected!	
GOBP_CELL_PROJECTION_ORGANIZATION	1567		Rejected!	
GOBP_CELL_PROJECTION_ASSEMBLY	595		Rejected!	
GOBP_LAMELLIPODIUM_ASSEMBLY	72	65		
GOBP_MICROVILLUS_ASSEMBLY	16	16		
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION	59	54		
GOBP_PARALLEL_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	7		Rejected!	
GOBP_ACTIN_MODIFICATION	5		Rejected!	
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	150	132		
GOBP_MUSCLE_FILAMENT_SLIDING	39	33		
GOBP_PEPTIDE_HORMONE_SECRETION	247	202		
GOBP_INSULIN_SECRETION	207	173		
GOBP_PROTEIN_REPAIR	7		Rejected!	
GOBP_MYELOID_CELL_DIFFERENTIATION	419	335		
GOBP_REGULATION_OF_ENDOCYTOSIS	206	189		
GOBP_NATURAL_KILLER_CELL_ACTIVATION	84	48		
GOBP_WATER_HOMEOSTASIS	79	58		
GOBP_REGULATION_OF_WNT_SIGNALING_PATHWAY	365	343		
GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	109	97		
GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX	20	17		
GOBP_REGULATION_OF_CELL_ADHESION	732		Rejected!	
GOBP_PANCREATIC_JUICE_SECRETION	11		Rejected!	
GOBP_REGULATION_OF_PROTEOLYSIS	731		Rejected!	
GOBP_PROTEIN_CATABOLIC_PROCESS	947		Rejected!	
GOBP_PROTEOGLYCAN_BIOSYNTHETIC_PROCESS	62	60		
GOBP_PLATELET_ACTIVATION	157	138		
GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION_INITIATION	6		Rejected!	
GOBP_POSITIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	179	172		
GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	212	199		
GOBP_NEURON_DIFFERENTIATION	1357		Rejected!	
GOBP_B_CELL_DIFFERENTIATION	137	104		
GOBP_COLLAGEN_FIBRIL_ORGANIZATION	54	52		
GOBP_HEPARAN_SULFATE_PROTEOGLYCAN_METABOLIC_PROCESS	31	31		
GOBP_HEPARIN_METABOLIC_PROCESS	12		Rejected!	
GOBP_DERMATAN_SULFATE_METABOLIC_PROCESS	13		Rejected!	
GOBP_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS	25	24		
GOBP_CHONDROITIN_SULFATE_CATABOLIC_PROCESS	14		Rejected!	
GOBP_HYALURONAN_METABOLIC_PROCESS	39	32		
GOBP_HYALURONAN_BIOSYNTHETIC_PROCESS	14		Rejected!	
GOBP_HYALURONAN_CATABOLIC_PROCESS	18		Rejected!	
GOBP_KERATINOCYTE_DIFFERENTIATION	302	127		
GOBP_T_CELL_DIFFERENTIATION	246	204		
GOBP_MEGAKARYOCYTE_DIFFERENTIATION	100	66		
GOBP_EOSINOPHIL_DIFFERENTIATION	5		Rejected!	
GOBP_NEUTROPHIL_DIFFERENTIATION	8		Rejected!	
GOBP_MONOCYTE_DIFFERENTIATION	36	29		
GOBP_MACROPHAGE_DIFFERENTIATION	47	42		
GOBP_MALE_SEX_DETERMINATION	10		Rejected!	
GOBP_MYOFIBRIL_ASSEMBLY	59	54		
GOBP_SKELETAL_MUSCLE_THIN_FILAMENT_ASSEMBLY	6		Rejected!	
GOBP_AUTOPHAGY_OF_PEROXISOME	6		Rejected!	
GOBP_GROWTH_HORMONE_SECRETION	14		Rejected!	
GOBP_LIPID_MODIFICATION	270	235		
GOBP_LIPID_GLYCOSYLATION	12		Rejected!	
GOBP_CHROMOSOME_CONDENSATION	46	30		
GOBP_APOPTOTIC_CHROMOSOME_CONDENSATION	5		Rejected!	
GOBP_MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM	22		Rejected!	
GOBP_REGULATION_OF_OSSIFICATION	111	105		
GOBP_NEGATIVE_REGULATION_OF_OSSIFICATION	37	34		
GOBP_BONE_MINERALIZATION	112	106		
GOBP_REGULATION_OF_INTESTINAL_CHOLESTEROL_ABSORPTION	9		Rejected!	
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH	161	139		
GOBP_NEGATIVE_REGULATION_OF_CELL_GROWTH	185	166		
GOBP_POLY_N_ACETYLLACTOSAMINE_METABOLIC_PROCESS	13		Rejected!	
GOBP_OSTEOCLAST_DIFFERENTIATION	92	74		
GOBP_MELANOCYTE_DIFFERENTIATION	24	18		
GOBP_CELLULAR_MONOVALENT_INORGANIC_ANION_HOMEOSTASIS	6		Rejected!	
GOBP_STABILIZATION_OF_MEMBRANE_POTENTIAL	17		Rejected!	
GOBP_ADRENAL_GLAND_DEVELOPMENT	21	19		
GOBP_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	106	101		
GOBP_FRUCTOSE_1_6_BISPHOSPHATE_METABOLIC_PROCESS	10		Rejected!	
GOBP_MEMBRANE_DISASSEMBLY	15	15		
GOBP_PRODUCTION_OF_SIRNA_INVOLVED_IN_RNA_INTERFERENCE	11		Rejected!	
GOBP_SLEEP	31	21		
GOBP_PERISTALSIS	11		Rejected!	
GOBP_UBIQUITIN_DEPENDENT_ERAD_PATHWAY	79	74		
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION	114	34		
GOBP_REGULATION_OF_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	5		Rejected!	
GOBP_TRNA_METHYLATION	40	38		
GOBP_MATURATION_OF_SSU_RRNA	50	49		
GOBP_FATTY_ACID_ELONGATION	13		Rejected!	
GOBP_REGULATION_OF_BONE_MINERALIZATION	75	70		
GOBP_POSITIVE_REGULATION_OF_BONE_MINERALIZATION	39	38		
GOBP_NEGATIVE_REGULATION_OF_BONE_MINERALIZATION	20	17		
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	91	79		
GOBP_NEGATIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_RECEPTOR_SIGNALING_PATHWAY	86	74		
GOBP_POSITIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	34	29		
GOBP_NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY	51	45		
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION	43	41		
GOBP_INTRACELLULAR_STEROID_HORMONE_RECEPTOR_SIGNALING_PATHWAY	113	98		
GOBP_INTRACELLULAR_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY	57	50		
GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	40	35		
GOBP_INTRACELLULAR_RECEPTOR_SIGNALING_PATHWAY	274	239		
GOBP_ADULT_BEHAVIOR	117	97		
GOBP_MALE_GENITALIA_DEVELOPMENT	20	15		
GOBP_FEMALE_GENITALIA_DEVELOPMENT	16	15		
GOBP_COLLAGEN_CATABOLIC_PROCESS	47	40		
GOBP_NUCLEAR_BODY_ORGANIZATION	14		Rejected!	
GOBP_PML_BODY_ORGANIZATION	6		Rejected!	
GOBP_UBIQUITIN_DEPENDENT_SMAD_PROTEIN_CATABOLIC_PROCESS	6		Rejected!	
GOBP_NEUTROPHIL_CHEMOTAXIS	102	77		
GOBP_LEUKOCYTE_CHEMOTAXIS	225	175		
GOBP_AMINOGLYCOSIDE_ANTIBIOTIC_METABOLIC_PROCESS	10		Rejected!	
GOBP_REGULATION_OF_VITAMIN_METABOLIC_PROCESS	10		Rejected!	
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	195	181		
GOBP_OVULATION	16		Rejected!	
GOBP_SEQUESTERING_OF_TRIGLYCERIDE	17	17		
GOBP_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	42	32		
GOBP_NEGATIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	21		Rejected!	
GOBP_REGULATION_OF_ACTIN_FILAMENT_LENGTH	186	166		
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	45	40		
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION	13		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	64	54		
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION	97	86		
GOBP_PROSTATE_GLAND_DEVELOPMENT	41	35		
GOBP_GRANULOCYTE_DIFFERENTIATION	33	29		
GOBP_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	15		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_GRANULOCYTE_DIFFERENTIATION	8		Rejected!	
GOBP_EPITHELIAL_CELL_DIFFERENTIATION	775		Rejected!	
GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	156	116		
GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	47	33		
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	61	41		
GOBP_POLARIZED_EPITHELIAL_CELL_DIFFERENTIATION	22	21		
GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION	58	58		
GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION	38	38		
GOBP_THYROID_GLAND_DEVELOPMENT	22	19		
GOBP_MAMMARY_GLAND_DEVELOPMENT	132	114		
GOBP_REGULATION_OF_MYELOID_DENDRITIC_CELL_ACTIVATION	5		Rejected!	
GOBP_REGULATION_OF_B_CELL_PROLIFERATION	61	49		
GOBP_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION	17		Rejected!	
GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION	40	33		
GOBP_FOREBRAIN_DEVELOPMENT	357	299		
GOBP_MIDBRAIN_DEVELOPMENT	86	69		
GOBP_HINDBRAIN_DEVELOPMENT	139	120		
GOBP_NOTOCHORD_DEVELOPMENT	17	16		
GOBP_PARANODAL_JUNCTION_ASSEMBLY	5		Rejected!	
GOBP_OTIC_VESICLE_FORMATION	8		Rejected!	
GOBP_MIDBRAIN_HINDBRAIN_BOUNDARY_DEVELOPMENT	7		Rejected!	
GOBP_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	33	25		
GOBP_NEGATIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	14		Rejected!	
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	16		Rejected!	
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CYTOSKELETON_POLARITY	8		Rejected!	
GOBP_ASTRAL_MICROTUBULE_ORGANIZATION	10		Rejected!	
GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	127	119		
GOBP_RESPONSE_TO_CAFFEINE	17	16		
GOBP_PANCREAS_DEVELOPMENT	73	57		
GOBP_EXOCRINE_PANCREAS_DEVELOPMENT	5		Rejected!	
GOBP_ENDOCRINE_PANCREAS_DEVELOPMENT	45	34		
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	140	130		
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION	190	179		
GOBP_MYOSIN_FILAMENT_ORGANIZATION	5		Rejected!	
GOBP_PRIMARY_MIRNA_PROCESSING	13		Rejected!	
GOBP_PRE_MIRNA_PROCESSING	15	15		
GOBP_CHROMATIN_REMODELING_AT_CENTROMERE	47	30		
GOBP_REGULATION_OF_HISTONE_MODIFICATION	141	125		
GOBP_NEGATIVE_REGULATION_OF_HISTONE_MODIFICATION	45	37		
GOBP_REGULATION_OF_HISTONE_METHYLATION	61	53		
GOBP_NEGATIVE_REGULATION_OF_HISTONE_METHYLATION	21	18		
GOBP_POSITIVE_REGULATION_OF_HISTONE_METHYLATION	36	34		
GOBP_REGULATION_OF_HISTONE_DEACETYLATION	28	22		
GOBP_NEGATIVE_REGULATION_OF_HISTONE_DEACETYLATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_HISTONE_DEACETYLATION	17		Rejected!	
GOBP_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT	33	31		
GOBP_POST_EMBRYONIC_CAMERA_TYPE_EYE_DEVELOPMENT	6		Rejected!	
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_INDEPENDENT_DECAY	7		Rejected!	
GOBP_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	276	244		
GOBP_REGENERATION	192	167		
GOBP_ANIMAL_ORGAN_REGENERATION	73	66		
GOBP_NEURON_PROJECTION_REGENERATION	58	52		
GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	114	107		
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	81	78		
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	37	37		
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	33	32		
GOBP_REGULATION_OF_MICROTUBULE_POLYMERIZATION	50	49		
GOBP_REGULATION_OF_MICROTUBULE_DEPOLYMERIZATION	29	29		
GOBP_NEGATIVE_REGULATION_OF_MICROTUBULE_POLYMERIZATION	13		Rejected!	
GOBP_RRNA_PSEUDOURIDINE_SYNTHESIS	10		Rejected!	
GOBP_TRNA_PSEUDOURIDINE_SYNTHESIS	5		Rejected!	
GOBP_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	62	60		
GOBP_RNA_3_END_PROCESSING	153	136		
GOBP_MRNA_3_END_PROCESSING	99	94		
GOBP_RRNA_3_END_PROCESSING	10		Rejected!	
GOBP_SNO_S_RNA_3_END_PROCESSING	12		Rejected!	
GOBP_DEVELOPMENTAL_INDUCTION	32	28		
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	83	80		
GOBP_SCF_DEPENDENT_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	93	88		
GOBP_RRNA_METHYLATION	28	25		
GOBP_PEPTIDE_MODIFICATION	5		Rejected!	
GOBP_POSTTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	7		Rejected!	
GOBP_PSEUDOPODIUM_ORGANIZATION	17		Rejected!	
GOBP_REGULATION_OF_PSEUDOPODIUM_ASSEMBLY	14		Rejected!	
GOBP_REGULATION_OF_CYCLASE_ACTIVITY	46	30		
GOBP_POSITIVE_REGULATION_OF_CYCLASE_ACTIVITY	21		Rejected!	
GOBP_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY	12		Rejected!	
GOBP_POSITIVE_REGULATION_OF_GUANYLATE_CYCLASE_ACTIVITY	9		Rejected!	
GOBP_RETINAL_GANGLION_CELL_AXON_GUIDANCE	19	18		
GOBP_MEMBRANE_PROTEIN_INTRACELLULAR_DOMAIN_PROTEOLYSIS	20	19		
GOBP_LYMPHOCYTE_COSTIMULATION	59	42		
GOBP_REPLICATION_FORK_PROCESSING	40	36		
GOBP_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	848		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	255	227		
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	138	124		
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY	254	229		
GOBP_REGULATION_OF_VESICLE_FUSION	24	22		
GOBP_NEGATIVE_REGULATION_OF_VESICLE_FUSION	6		Rejected!	
GOBP_POSITIVE_REGULATION_OF_VESICLE_FUSION	10		Rejected!	
GOBP_REGULATION_OF_CELL_KILLING	98	55		
GOBP_NEGATIVE_REGULATION_OF_CELL_KILLING	26		Rejected!	
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	63	33		
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	628		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	179	162		
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	344	313		
GOBP_REGULATION_OF_DEFENSE_RESPONSE	692		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE	236	159		
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE	359	279		
GOBP_N_TERMINAL_PROTEIN_AMINO_ACID_MODIFICATION	29	28		
GOBP_NEGATIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	5		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PROSTAGLANDIN_BIOSYNTHETIC_PROCESS	7		Rejected!	
GOBP_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1627		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	555	494		
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	1051		Rejected!	
GOBP_KERATINIZATION	225	65		
GOBP_RESPONSE_TO_METHOTREXATE	5		Rejected!	
GOBP_REGULATION_OF_MRNA_3_END_PROCESSING	28	27		
GOBP_NEGATIVE_REGULATION_OF_MRNA_3_END_PROCESSING	9		Rejected!	
GOBP_POSITIVE_REGULATION_OF_MRNA_3_END_PROCESSING	11		Rejected!	
GOBP_NUCLEAR_ENVELOPE_REASSEMBLY	18	18		
GOBP_CHROMATIN_DISASSEMBLY	20	16		
GOBP_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	283	257		
GOBP_RUFFLE_ORGANIZATION	55	51		
GOBP_ACTIN_CYTOSKELETON_REORGANIZATION	103	100		
GOBP_BRAIN_DERIVED_NEUROTROPHIC_FACTOR_RECEPTOR_SIGNALING_PATHWAY	6		Rejected!	
GOBP_DNA_INTEGRITY_CHECKPOINT	156	144		
GOBP_G2_DNA_DAMAGE_CHECKPOINT	36	33		
GOBP_INTRA_S_DNA_DAMAGE_CHECKPOINT	17	15		
GOBP_MEMBRANE_RAFT_ORGANIZATION	25	24		
GOBP_HEMIDESMOSOME_ASSEMBLY	12		Rejected!	
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_D_ACTIVITY	6		Rejected!	
GOBP_REGULATION_OF_INOSITOL_1_4_5_TRISPHOSPHATE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY	5		Rejected!	
GOBP_CELL_SUBSTRATE_ADHESION	359	327		
GOBP_POSITIVE_REGULATION_OF_FEVER_GENERATION	7		Rejected!	
GOBP_RECEPTOR_INTERNALIZATION	111	100		
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_FUSION_TO_PRESYNAPTIC_ACTIVE_ZONE_MEMBRANE	8		Rejected!	
GOBP_ZYMOGEN_ACTIVATION	58	46		
GOBP_PLASMINOGEN_ACTIVATION	23	19		
GOBP_KILLING_OF_CELLS_OF_OTHER_ORGANISM	67	25		
GOBP_REGULATION_OF_MYELINATION	42	40		
GOBP_NEGATIVE_REGULATION_OF_MYELINATION	8		Rejected!	
GOBP_POSITIVE_REGULATION_OF_MYELINATION	17	16		
GOBP_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	137	112		
GOBP_NEGATIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	18		Rejected!	
GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_PROCESS	34	30		
GOBP_REGULATION_OF_PROTEIN_STABILITY	295	262		
GOBP_PROTEIN_DESTABILIZATION	46	39		
GOBP_HEAT_GENERATION	16	15		
GOBP_REGULATION_OF_HEAT_GENERATION	13		Rejected!	
GOBP_POSITIVE_REGULATION_OF_HEAT_GENERATION	10		Rejected!	
GOBP_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	58	52		
GOBP_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	25	19		
GOBP_NEGATIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	13		Rejected!	
GOBP_POSITIVE_REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY	8		Rejected!	
GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	235	212		
GOBP_CELLULAR_RESPONSE_TO_NUTRIENT	42	39		
GOBP_PROTECTION_FROM_NON_HOMOLOGOUS_END_JOINING_AT_TELOMERE	10		Rejected!	
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_PLASTICITY	9		Rejected!	
GOBP_TOR_SIGNALING	121	112		
GOBP_REGULATION_OF_CHROMATIN_SILENCING	18		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_CHROMATIN_SILENCING	14		Rejected!	
GOBP_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS	10		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS	5		Rejected!	
GOBP_REGULATION_OF_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS	8		Rejected!	
GOBP_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	47	45		
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	12		Rejected!	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	27	25		
GOBP_CORTICOSTEROID_RECEPTOR_SIGNALING_PATHWAY	14		Rejected!	
GOBP_RESPONSE_TO_CORTICOSTEROID	152	125		
GOBP_LOCOMOTION_INVOLVED_IN_LOCOMOTORY_BEHAVIOR	8		Rejected!	
GOBP_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	20	19		
GOBP_NEGATIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	6		Rejected!	
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	10		Rejected!	
GOBP_REGULATION_OF_TOR_SIGNALING	99	90		
GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING	44	41		
GOBP_POSITIVE_REGULATION_OF_TOR_SIGNALING	42	39		
GOBP_ARF_PROTEIN_SIGNAL_TRANSDUCTION	19	19		
GOBP_ISG15_PROTEIN_CONJUGATION	6		Rejected!	
GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION	71	59		
GOBP_RESPONSE_TO_COBALT_ION	9		Rejected!	
GOBP_RESPONSE_TO_MAGNESIUM_ION	18	17		
GOBP_MITOCHONDRIAL_DNA_METABOLIC_PROCESS	13		Rejected!	
GOBP_CARDIOLIPIN_METABOLIC_PROCESS	18	17		
GOBP_CARDIOLIPIN_BIOSYNTHETIC_PROCESS	8		Rejected!	
GOBP_NEGATIVE_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	6		Rejected!	
GOBP_POSITIVE_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	8		Rejected!	
GOBP_BLEB_ASSEMBLY	10		Rejected!	
GOBP_REGULATION_OF_NUCLEASE_ACTIVITY	22	19		
GOBP_REGULATION_OF_DEOXYRIBONUCLEASE_ACTIVITY	10		Rejected!	
